customer_id,customer_name,account_number,account_type,account_balance
1,Emma Johnson,73605,credit,52780
2,Harper Miller,44296,savings,99710
3,Evelyn Taylor,42127,savings,5989
4,Harper Martinez,81486,checking,67287
5,Amelia Smith,13433,credit,34769
6,Charlotte Anderson,24637,savings,42444
7,Harper Martinez,33567,checking,80470
8,Amelia Garcia,66809,credit,47064
9,Mia Brown,33267,checking,30187
10,Ava Miller,31739,savings,26076
11,Charlotte Miller,21618,savings,55391
12,Evelyn Smith,70244,credit,70052
13,Ava Wilson,35432,credit,19078
14,Charlotte Brown,97857,checking,85762
15,Mia Brown,50952,credit,19310
16,Amelia Wilson,50567,savings,27593
17,Evelyn Martinez,8265,savings,25401
18,Ava Taylor,24184,savings,24063
19,Charlotte Davis,15137,checking,59475
20,Amelia Garcia,94058,savings,71027
21,Mia Wilson,84347,savings,79438
22,Mia Garcia,59007,checking,42256
23,Isabella Wilson,15177,savings,9862
24,Ava Taylor,6996,savings,23519
25,Mia Wilson,52541,credit,63097
26,Emma Smith,17837,checking,82286
27,Amelia Johnson,20426,savings,23840
28,Mia Wilson,36489,savings,28447
29,Sophia Johnson,47287,savings,62330
30,Mia Brown,87952,savings,27230
31,Olivia Johnson,44354,credit,61667
32,Evelyn Brown,24528,savings,85397
33,Amelia Garcia,9875,savings,36282
34,Mia Brown,48394,credit,12561
35,Emma Martinez,94045,credit,47794
36,Evelyn Miller,32109,credit,88863
37,Evelyn Anderson,94889,checking,90525
38,Harper Johnson,83527,checking,74497
39,Charlotte Martinez,83107,savings,68082
40,Sophia Wilson,40762,savings,4815
41,Charlotte Brown,27473,checking,42563
42,Olivia Anderson,71183,credit,7730
43,Emma Davis,8528,credit,12507
44,Sophia Wilson,88869,savings,80505
45,Ava Davis,46552,credit,40552
46,Emma Brown,22247,checking,79236
47,Charlotte Miller,40348,savings,73735
48,Evelyn Johnson,14889,savings,43104
49,Evelyn Brown,25621,checking,55605
50,Mia Anderson,30737,checking,28677
51,Ava Smith,60150,credit,33957
52,Ava Davis,31335,checking,90467
53,Emma Martinez,94812,checking,90575
54,Emma Smith,80777,credit,59243
55,Harper Smith,9435,checking,9211
56,Evelyn Anderson,29946,checking,21434
57,Harper Davis,89556,savings,97686
58,Olivia Garcia,63646,savings,30342
59,Olivia Brown,38941,savings,3647
60,Olivia Martinez,96923,savings,24387
61,Harper Smith,10962,savings,83908
62,Harper Garcia,75701,checking,39721
63,Isabella Martinez,93095,savings,49669
64,Harper Taylor,22069,checking,14427
65,Sophia Miller,7052,checking,29752
66,Amelia Miller,37068,credit,45169
67,Mia Davis,64782,credit,16581
68,Ava Anderson,17770,savings,89559
69,Harper Johnson,6048,savings,93312
70,Mia Martinez,58962,checking,32667
71,Emma Davis,88868,savings,2691
72,Emma Anderson,60033,savings,72043
73,Ava Davis,71597,checking,57952
74,Olivia Anderson,53707,credit,56394
75,Harper Brown,73197,savings,25332
