customer_id,customer_name,account_number,account_type,account_balance
1,Mia Johnson,61948,checking,39909
2,Harper Davis,39518,savings,14718
3,Isabella Brown,3118,savings,64969
4,Sophia Martinez,38713,checking,37550
5,Emma Brown,80237,checking,99389
6,Sophia Brown,42402,savings,12316
7,Mia Miller,4776,credit,43589
8,Emma Johnson,6241,checking,34178
9,Emma Anderson,59828,credit,32138
10,Isabella Johnson,52068,checking,66089
11,Sophia Miller,34189,checking,55257
12,Mia Garcia,30774,savings,51767
13,Olivia Brown,95512,checking,65966
14,Isabella Martinez,71311,credit,1830
15,Ava Anderson,90442,checking,52314
16,Evelyn Miller,17515,credit,69014
17,Olivia Anderson,27717,checking,34379
18,Olivia Smith,79057,savings,81615
19,Mia Davis,98485,checking,84021
20,Evelyn Miller,8355,savings,54426
21,Amelia Brown,23969,checking,86581
22,Sophia Wilson,66679,savings,92420
23,Harper Brown,95049,credit,81024
24,Charlotte Wilson,22809,credit,53882
25,Sophia Brown,81253,credit,47233
26,Sophia Smith,12652,savings,94199
27,Harper Johnson,27230,checking,10880
28,Amelia Martinez,64781,savings,37948
29,Olivia Garcia,32335,savings,95245
30,Mia Garcia,32580,checking,7697
31,Olivia Johnson,23078,checking,39312
32,Charlotte Anderson,73741,savings,63655
33,Ava Martinez,99711,credit,16225
34,Isabella Brown,41864,savings,44975
35,Emma Wilson,86481,savings,41270
36,Emma Davis,40422,credit,79581
37,Isabella Miller,16224,savings,42351
38,Charlotte Garcia,72466,savings,91149
39,Ava Anderson,87024,savings,97786
40,Sophia Garcia,48788,credit,21169
41,Sophia Miller,38197,checking,6521
42,Harper Johnson,97844,savings,95158
43,Charlotte Miller,36463,checking,36792
44,Emma Johnson,10191,credit,26240
45,Amelia Brown,9274,credit,80191
46,Harper Smith,67555,savings,22057
47,Harper Brown,63838,savings,78542
48,Evelyn Johnson,53331,checking,85480
49,Olivia Davis,86552,credit,41513
50,Charlotte Taylor,30371,savings,69733
51,Isabella Brown,99145,credit,82211
52,Charlotte Miller,35977,credit,36375
53,Isabella Martinez,62044,credit,14668
54,Amelia Wilson,14943,credit,36770
55,Mia Wilson,13741,credit,28058
56,Olivia Wilson,28263,checking,15141
57,Sophia Taylor,25464,checking,75179
58,Ava Johnson,99869,checking,87141
59,Ava Miller,53533,checking,59463
60,Olivia Miller,94348,savings,55493
61,Amelia Martinez,96422,savings,57820
62,Emma Taylor,18829,credit,71075
63,Emma Anderson,47584,credit,61324
64,Charlotte Taylor,39515,checking,22183
65,Ava Miller,34959,savings,92693
66,Sophia Taylor,77358,credit,58045
67,Charlotte Johnson,7145,savings,72763
68,Isabella Davis,37047,credit,3627
69,Isabella Anderson,26332,credit,75712
70,Harper Garcia,1264,checking,25210
71,Sophia Davis,85018,credit,97710
72,Charlotte Miller,45641,checking,10528
73,Harper Wilson,12692,credit,82883
74,Ava Davis,75264,checking,83461
75,Emma Davis,84975,checking,54826
76,Emma Anderson,59465,credit,19462
77,Emma Taylor,92351,credit,95417
78,Sophia Johnson,19603,credit,96562
79,Sophia Smith,37896,savings,87463
80,Emma Miller,11899,credit,16620
81,Harper Anderson,17716,savings,97564
82,Sophia Taylor,24690,checking,61005
83,Olivia Wilson,73992,savings,17219
84,Sophia Wilson,61142,checking,32108
85,Harper Garcia,44647,credit,73675
86,Olivia Brown,84273,savings,62750
87,Mia Anderson,77944,credit,7091
88,Emma Wilson,19407,savings,87159
89,Isabella Miller,55912,credit,37475
90,Isabella Johnson,58983,checking,53370
91,Ava Davis,33680,checking,91304
92,Ava Wilson,85827,credit,49983
93,Olivia Taylor,42392,credit,47653
94,Evelyn Brown,90225,credit,53268
