customer_id,customer_name,account_number,account_type,account_balance
1,Isabella Smith,49821,checking,50756
2,Ava Johnson,93063,checking,89569
3,Harper Martinez,78228,credit,2423
4,Ava Smith,1453,credit,56980
5,Charlotte Martinez,42220,checking,77193
6,Harper Brown,58271,checking,88770
7,Olivia Martinez,77205,savings,7338
8,Amelia Martinez,73723,savings,61568
9,Emma Martinez,53771,savings,45074
10,Sophia Johnson,25573,credit,59810
11,Charlotte Garcia,48462,credit,53204
12,Olivia Brown,59203,checking,54823
13,Isabella Smith,88546,credit,46504
14,Charlotte Brown,74773,credit,57586
15,Emma Davis,51577,credit,63720
16,Charlotte Taylor,88011,checking,87690
17,Evelyn Davis,27726,savings,14295
18,Olivia Davis,27211,credit,49992
19,Isabella Johnson,72743,credit,13212
20,Isabella Anderson,83042,credit,52294
21,Isabella Wilson,44622,checking,79094
22,Isabella Brown,12843,credit,53662
23,Mia Garcia,61023,savings,55351
24,Amelia Martinez,48122,credit,10220
25,Emma Johnson,95091,checking,17451
26,Emma Brown,65019,checking,17432
27,Harper Martinez,14574,savings,18980
28,Sophia Anderson,85890,checking,75276
29,Emma Taylor,40329,savings,73568
30,Mia Martinez,65875,checking,4973
31,Olivia Smith,23277,credit,73639
32,Isabella Wilson,17813,credit,15884
33,Ava Taylor,59630,savings,67112
34,Mia Anderson,70445,savings,90724
35,Sophia Johnson,50699,savings,10452
36,Amelia Miller,14369,savings,82958
37,Harper Martinez,6290,savings,6416
38,Ava Miller,67074,checking,55913
39,Sophia Miller,77045,credit,22077
40,Charlotte Garcia,79186,savings,33273
41,Ava Wilson,23877,checking,40958
42,Harper Johnson,55980,savings,83154
43,Evelyn Taylor,32513,savings,28702
44,Emma Davis,65071,savings,5822
45,Evelyn Miller,61622,checking,78545
46,Harper Martinez,54601,credit,76627
47,Charlotte Davis,39531,checking,86863
48,Harper Anderson,39885,credit,60269
49,Emma Miller,25268,credit,43500
50,Isabella Garcia,24624,savings,38032
51,Emma Davis,43664,credit,81622
52,Ava Wilson,37555,credit,19053
53,Isabella Anderson,67114,savings,35939
54,Amelia Johnson,13619,savings,78525
55,Emma Martinez,82343,checking,58669
56,Charlotte Brown,49891,checking,26025
57,Olivia Martinez,25973,checking,1565
58,Isabella Anderson,64792,checking,6823
59,Isabella Anderson,94914,savings,33992
60,Mia Davis,27408,checking,12525
61,Evelyn Garcia,33387,credit,35735
62,Harper Smith,94038,credit,54531
63,Ava Brown,86356,credit,4215
64,Sophia Smith,19939,checking,79737
65,Amelia Brown,68923,credit,73129
66,Evelyn Garcia,27717,checking,37202
67,Charlotte Martinez,68587,savings,84061
68,Charlotte Anderson,67643,checking,76035
69,Charlotte Garcia,87412,checking,42075
70,Evelyn Anderson,10305,savings,93869
71,Charlotte Davis,28888,checking,22630
72,Harper Martinez,19428,savings,23330
73,Emma Wilson,13044,checking,16645
74,Harper Miller,47492,checking,91203
75,Isabella Miller,3970,credit,38560
76,Evelyn Miller,36379,checking,46853
77,Ava Miller,98003,credit,84660
78,Amelia Martinez,68554,savings,95306
79,Olivia Miller,19817,savings,64511
80,Isabella Davis,66183,checking,23988
81,Isabella Taylor,42997,checking,88161
82,Ava Taylor,15686,checking,63933
83,Ava Miller,25796,savings,20473
84,Emma Miller,84622,checking,47880
85,Isabella Miller,70490,checking,82419
86,Amelia Wilson,88317,credit,50112
87,Sophia Miller,30153,credit,77209
88,Sophia Garcia,5555,checking,62034
89,Harper Martinez,68613,credit,46071
90,Isabella Wilson,79154,savings,75016
91,Evelyn Wilson,88235,checking,83293
92,Evelyn Anderson,41680,credit,70134
93,Ava Miller,81173,checking,15659
94,Emma Anderson,87962,checking,96421
95,Evelyn Wilson,25721,credit,24770
96,Charlotte Garcia,69027,credit,51063
97,Isabella Taylor,45267,checking,39423
